Minerva	B-Reporter
Labs	I-Reporter
have	O
often	O
observed	O
threat	O
actors	O
using	B-TTPs
legitimate	I-TTPs
software	I-TTPs
for	I-TTPs
dropping	I-TTPs
malicious	I-TTPs
files	I-TTPs
.	O
This	O
time	O
however	O
is	O
different	O
.	O
This	O
threat	O
actor	O
was	O
able	O
to	O
leave	O
most	O
parts	O
of	O
the	O
attack	O
under	O
the	O
radar	O
by	O
separating	B-TTPs
the	I-TTPs
attack	I-TTPs
into	I-TTPs
several	I-TTPs
small	I-TTPs
files	I-TTPs
,	O
most	O
of	O
which	O
had	O
very	O
low	O
detection	O
rates	O
by	O
AV	B-Application
engines	I-Application
,	O
with	O
the	O
final	O
stage	O
leading	O
to	O
Purple	B-Malware
Fox	I-Malware
rootkit	I-Malware
infection.e	O
